ID,Cohort,Program,College,major_2,concentration_1,hrs_enrolled,gender,state,ipeds_ethnicity,resid_commuter_sts,sport_1,sport_1_b,sport_2,sport_2_b,first_gen,hs_gpa,pell_eligible,ret_label,ret_label_b
769,87,3,1,0,0,15,1,14,6,2,25,0,5,0,0,4,0,3,1
771,79,13,3,0,0,16,0,14,6,0,25,0,5,0,0,3.42,1,3,1
772,79,50,2,0,0,18,1,14,6,2,25,0,5,0,0,4,0,3,1
773,79,49,2,0,1,15,1,14,6,0,25,0,5,0,1,3.93,0,3,1
776,79,50,2,0,0,12,1,14,6,0,25,0,5,0,0,3.82,1,3,1
777,79,50,2,0,0,17,1,14,6,2,25,0,5,0,0,3.54,1,3,1
778,79,50,2,0,0,17,1,14,6,0,25,0,5,0,0,3.35,1,3,1
779,87,50,2,0,0,15,1,14,6,0,25,0,5,0,0,3.63,0,3,1
780,87,50,2,0,0,16,1,14,6,0,25,0,5,0,0,3.69,0,3,1
781,87,54,1,0,0,15,1,14,6,2,25,0,5,0,0,4,1,3,1
783,87,20,1,1,0,15,1,14,6,2,22,1,5,0,0,4,0,3,1
785,87,28,1,1,0,18,1,14,4,0,0,1,3,1,0,3.15,1,3,1
786,87,56,2,1,1,18,1,14,6,2,25,0,5,0,0,4,0,3,1
787,87,25,2,1,0,16,1,14,6,0,25,0,5,0,1,3.94,0,3,1
791,79,37,1,0,0,15,1,14,6,2,25,0,5,0,1,3.18,1,0,0
792,79,57,3,0,0,12,1,14,6,0,15,1,5,0,1,3.91,0,3,1
793,79,32,2,0,0,16,1,14,6,0,25,0,5,0,0,3.95,0,3,1
794,79,9,3,0,0,16,1,14,6,2,25,0,5,0,1,4,0,3,1
795,79,52,1,0,0,15,1,14,6,2,25,0,5,0,1,3.75,0,3,1
796,79,49,2,0,1,16,1,14,6,0,25,0,5,0,1,3.75,0,3,1
797,79,49,2,0,0,16,1,14,6,0,25,0,5,0,1,3.5,1,0,0
799,79,53,1,0,1,15,1,14,6,2,25,0,5,0,0,3.89,0,3,1
800,79,44,2,0,0,15,1,14,6,2,25,0,5,0,1,3.88,1,3,1
801,79,30,3,0,0,16,1,14,6,2,25,0,5,0,1,3.75,1,3,1
804,79,54,1,0,0,16,0,14,1,2,25,0,5,0,1,3.15,1,3,1
805,79,50,2,0,1,15,1,14,6,2,25,0,5,0,0,3.88,0,3,1
806,79,33,2,0,0,13,1,14,6,2,25,0,5,0,1,4,0,1,0
808,79,30,3,0,0,16,1,14,6,2,23,1,5,0,0,3.88,0,3,1
809,79,54,1,0,1,16,0,14,6,2,25,0,5,0,1,3.78,0,3,1
810,79,49,2,0,0,16,1,14,6,2,25,0,5,0,0,3.35,1,3,1
811,79,44,2,0,0,15,1,14,6,0,25,0,5,0,1,3.99,0,3,1
812,79,39,1,0,0,15,0,14,6,1,25,0,5,0,1,3.99,0,3,1
813,79,30,3,0,0,16,1,14,0,2,20,1,5,0,1,3.95,0,3,1
